spot_index,x,y,pixel_x,pixel_y,dist_1,dist_2,dist_3,dist_4,dist_5,mean_5nn
0,11,15,2145.31,3052.12,218.89227601722266,223.89094354171664,256.34266071023006,304.54485466019634,354.73991035687004,271.68212905724715
1,20,15,4143.68,3058.47,191.1752664441717,217.43174400257215,237.11335791135892,288.08062239588406,334.5160854129441,253.66341523338616
2,21,15,4334.81,3054.31,191.1752664441717,219.51011024551943,288.0421774671208,306.5381739685935,428.2886085340123,286.7108673318836
3,8,15,1514.45,3059.78,219.9889590411299,232.49010409047523,316.09133015633296,321.52960128112613,412.0805126428571,300.43610144238426
4,9,15,1746.94,3060.0,179.5921072875976,223.86575999915672,232.49010409047523,286.3957911701917,316.89903029198445,247.84855856788118
5,10,15,1926.53,3059.13,179.5921072875976,215.3836562973153,218.89227601722266,293.46262811472263,308.52302880012064,243.17073930339575
6,19,15,3906.62,3063.5,213.68581141479646,222.30218105092882,237.11335791135892,313.5377816149115,323.4465720949905,262.01714081739726
7,15,15,3031.08,3066.13,199.89293534289814,219.54118087502377,308.72295023208113,317.78868513526413,423.61740391537273,293.91263110012795
8,14,15,2831.24,3070.73,199.89293534289814,221.09880687149823,223.73988133544714,295.99804002729496,311.70434725874424,250.48680216717656
9,17,15,3462.76,3077.73,204.08871232873196,230.74371865773486,297.766035000636,309.90270892652745,431.83582806432383,294.86740059559077
10,18,15,3693.5,3079.04,210.36498021296242,213.68581141479646,230.74371865773486,290.7868581968587,301.9082045920581,249.49791461488212
11,13,15,2607.68,3079.7,208.1707784488492,216.37979434318726,223.73988133544714,299.86203510948155,300.0327883748711,249.63705552236723
12,12,15,2399.57,3084.73,208.1707784488492,212.73902909433428,256.34266071023006,302.20950613771214,317.657158741937,259.4238266266126
13,22,16,4549.45,3273.16,208.58172331247064,214.421015761049,245.28873802113299,306.5381739685935,315.1602367050766,257.99797755366455
14,11,16,2145.96,3276.01,208.98732712774716,213.3817735890295,223.89094354171664,256.46857000420164,304.5740977167954,241.46054239589807
15,21,16,4335.03,3273.82,184.39052388883772,214.421015761049,219.51011024551943,221.45789035389978,288.08062239588406,225.572032529038
16,10,16,1936.98,3274.26,199.62191287531547,208.98732712774716,215.3836562973153,221.05292058690375,286.3957911701917,226.28832161149467
17,20,16,4150.65,3275.79,184.39052388883772,217.43174400257215,220.82269018377633,252.71203552660438,280.57103289541516,231.18560529944116
18,8,16,1518.59,3279.73,219.02544075974373,219.9889590411299,220.39686862566796,235.77985749423124,308.58415788889727,240.75505676193401
19,17,16,3469.72,3281.7,204.08871232873196,214.63614164441142,219.56365933368875,230.5044524515744,301.9082045920581,234.1402340700929
20,7,16,1282.83,3282.79,210.47927902765147,225.7452528847506,235.77985749423124,312.9398309579655,319.37077089176455,260.86299825127264
21,9,16,1737.58,3283.67,199.62191287531547,215.424367470349,219.02544075974373,223.86575999915672,289.13698656519205,229.41489353395136
22,5,16,855.08,3285.64,202.01424751734703,219.32969201637994,239.50005427974335,287.20170055206853,319.89373376169806,253.58788562544737
23,6,16,1057.09,3284.33,202.01424751734703,210.1445983126858,225.7452528847506,306.26806363053925,316.7294279033763,252.1803180497398
24,19,16,3898.13,3285.64,208.40505416136136,209.01310676605908,222.30218105092882,252.71203552660438,290.7868581968587,236.6438471403625
25,15,16,3034.78,3285.64,214.72134896185835,219.54118087502377,220.20108741784185,220.59339632001678,295.99804002729496,234.21101072040716
26,24,16,5022.49,3289.36,216.5079735252259,228.87810423891577,312.5073920725716,473.3173159731217,497.3523678439662,345.7126307307602
27,18,16,3689.15,3289.36,209.01310676605908,210.36498021296242,217.3414017162857,219.56365933368875,295.92406086697287,230.44144177919378
28,4,16,615.62,3290.02,194.03635226420846,215.68953915292246,239.50005427974335,281.8083664478398,313.74617161010906,248.9560967509646
29,14,16,2820.14,3291.55,204.45692089044073,212.3440326451393,214.72134896185835,221.09880687149823,298.89415200033596,230.30305227385452
30,16,16,3255.3,3291.33,214.63614164441142,214.91537520614932,220.59339632001678,297.766035000636,310.2841903803675,251.63902771031616
31,2,16,222.04,3296.14,199.892935342898,222.41528094984864,297.72582857387437,393.62757881022515,438.68522621579143,310.46936997852754
32,12,16,2401.53,3297.46,212.73902909433428,214.20546421601836,228.573295246842,256.46857000420164,299.86203510948155,242.36967873417558
33,23,16,4793.7,3295.71,220.57290336757126,228.87810423891577,245.28873802113299,295.94597023781193,306.95194803095785,259.527532779278
34,13,16,2615.73,3295.93,204.45692089044073,214.20546421601836,214.91399256446783,216.37979434318726,294.94272003221243,228.97977840926532
35,3,16,421.88,3300.74,194.03635226420846,199.892935342898,204.97979851682956,286.93617565584185,310.54614149913397,239.27828065578237
36,22,17,4563.17,3481.29,208.58172331247064,226.64812992830977,237.90000861706585,246.4579818143445,295.94597023781193,243.10676278200054
37,11,17,2146.83,3489.39,212.32226849767787,213.3817735890295,221.27809765089742,250.8470677524456,300.52943183655043,239.67172786532018
38,7,17,1295.46,3492.89,210.47927902765147,221.50802468533718,243.16481344964373,251.92465619704666,308.58415788889727,247.13218624971523
39,6,17,1052.3,3494.42,208.14450797462803,210.1445983126858,234.43277586549206,243.16481344964373,287.20170055206853,236.6176792309036
40,10,17,1934.59,3495.3,191.3861565004114,212.32226849767787,220.5069261950743,221.05292058690375,289.13698656519205,226.88105166905189
41,19,17,3902.92,3493.99,208.40505416136136,217.19104148191767,226.95378075722846,248.83379352491465,295.92406086697287,239.461546158479
42,21,17,4325.67,3495.08,173.93672930120337,216.26552961579432,221.45789035389978,237.90000861706585,277.67291441550475,225.44661446069364
43,20,17,4151.74,3496.61,173.93672930120337,214.92000000000007,220.82269018377633,248.83379352491465,278.7951084578064,227.46166429354017
44,8,17,1516.85,3500.12,220.39686862566796,221.50802468533718,226.39267236374954,309.1477565825117,317.2369678962402,258.9364580307013
45,9,17,1743.24,3499.02,191.3861565004114,215.424367470349,219.7575557290352,226.39267236374954,284.366801508193,227.4655107143476
46,3,17,433.85,3505.37,188.95012807616715,204.97979851682956,227.24345821167225,234.75843627013708,281.8083664478398,227.54803750452916
47,4,17,622.8,3505.59,188.95012807616715,215.68953915292246,219.99433674528964,221.61174720668578,286.93617565584185,226.63638536738137
48,5,17,844.41,3504.71,208.14450797462803,219.32969201637994,221.61174720668578,221.93070720384782,302.3723408316309,234.67779904663448
49,14,17,2824.93,3503.84,206.15941259132467,208.00781740117353,212.3440326451393,225.86508052374975,294.94272003221243,229.4638126387199
50,18,17,3686.1,3506.68,211.4407666463588,217.19104148191767,217.3414017162857,218.90241341748649,305.75814707052393,234.1267540665145
51,24,17,5017.48,3505.81,210.53049114083208,216.5079735252259,306.95194803095785,315.7062337046892,454.9712150235436,300.93357228504976
52,15,17,3031.08,3505.81,206.15941259132467,220.20108741784185,220.5351157979156,222.70041513207855,300.6709683358204,234.05339985499623
53,16,17,3253.78,3506.24,214.91537520614932,218.4477209768965,221.02902660058004,222.70041513207855,306.09989382552857,236.63848634824657
54,13,17,2617.04,3510.84,208.00781740117353,214.91399256446783,218.85096527088922,222.55285125111288,298.89415200033596,232.6439556975959
55,17,17,3474.73,3512.15,211.4407666463588,213.9636838344299,221.02902660058004,230.5044524515744,303.7370079526036,236.13498749710934
56,2,17,199.4,3517.4,217.7488895494073,222.41528094984864,234.75843627013708,296.40514587300936,310.54614149913397,256.3747788283073
57,23,17,4807.19,3515.87,210.53049114083208,217.91698075184524,220.57290336757126,246.4579818143445,312.5073920725716,241.5971498294329
58,12,17,2395.0,3525.94,213.6931821560996,222.55285125111288,228.573295246842,250.8470677524456,301.83588023957657,243.5004553292153
59,22,18,4555.55,3707.81,221.69170710696426,225.98710494185286,226.64812992830977,244.73583574948717,311.76948824411926,246.16645319414664
60,11,18,2149.66,3710.65,216.01534783436082,221.27809765089742,222.30713911163514,253.30289102179637,304.3529651572331,243.45128815518456
61,20,18,4151.74,3711.53,177.85013606967,214.92000000000007,222.18163965548513,247.68881323144146,277.67291441550475,228.06270067442028
62,21,18,4329.59,3711.31,177.85013606967,215.60955869348666,216.26552961579432,225.98710494185286,278.7951084578064,222.90148755572204
63,9,18,1746.72,3718.75,180.71590881823332,219.7575557290352,223.50580059586824,284.2745159172731,291.93327902108024,240.037412016298
64,10,18,1927.41,3715.69,180.71590881823332,220.17818806593885,220.5069261950743,222.30713911163514,284.366801508193,225.6149927398149
65,19,18,3904.23,3720.94,213.38937110362377,221.5415058177587,226.95378075722846,247.68881323144146,305.75814707052393,243.06632359611527
66,18,18,3690.89,3725.53,213.38937110362377,218.90241341748649,219.33761419327962,224.0004321424403,303.7370079526036,235.87336776188675
67,15,18,3039.35,3726.19,217.05822007009982,217.77091173983706,217.91537118799155,220.5351157979156,307.17784327649713,236.0914924144682
68,16,18,3257.26,3724.66,209.6340931241859,217.91537118799155,218.4477209768965,226.34069055298028,304.0620019009278,235.27997554859638
69,17,18,3466.89,3725.97,209.6340931241859,213.9636838344299,224.0004321424403,230.24479364363486,306.09989382552857,236.78857931404391
70,6,18,1056.22,3728.82,214.00120607136776,214.60532449126214,228.68301664093892,234.43277586549206,304.8496122680821,239.3143870674286
71,4,18,637.39,3725.1,204.8457138921877,217.0914802565961,219.99433674528964,232.33968451386,299.51595032652267,234.7574331468912
72,5,18,842.23,3726.63,204.8457138921877,214.00120607136776,220.38269555480088,221.93070720384782,303.8939928659334,233.0108631176275
73,3,18,405.12,3730.79,192.26037553276547,217.72909337063786,227.24345821167225,232.33968451386,293.2368518791594,232.56189270161903
74,14,18,2822.32,3729.69,204.6300000000001,217.05822007009982,221.0404379293526,225.86508052374975,298.51178485949254,233.42110467653893
75,13,18,2617.69,3729.69,204.6300000000001,216.60407867812657,218.85096527088922,224.0054200237127,300.91898859992205,233.00189051453017
76,23,18,4798.92,3733.63,217.91698075184524,220.39269543249375,244.73583574948717,311.7231253853329,315.7062337046892,262.09497420476964
77,2,18,212.9,3734.73,192.26037553276547,217.7488895494073,218.63386494319687,301.57488506173706,318.47278078353895,249.73815917412912
78,12,18,2401.31,3739.54,213.6931821560996,213.82540260689345,216.60407867812657,253.30289102179637,309.5103657391785,241.38718404041887
79,7,18,1284.36,3744.57,205.07106207361358,228.68301664093892,251.92465619704666,296.8479556944934,297.08875660314027,255.92308944184657
80,21,19,4333.72,3926.88,186.8930210039962,215.60955869348666,217.03761724641203,222.71541123146355,281.9438648029074,224.8398945956532
81,11,19,2148.14,3926.66,216.01534783436082,218.09370944619184,224.42153394895035,253.06246758458684,305.3360014803361,243.38581205888516
82,22,19,4556.42,3929.5,209.0509978450237,221.69170710696426,222.71541123146355,242.6520523300801,303.12962986154986,239.84795967501628
83,20,19,4146.95,3933.66,186.8930210039962,211.9575075339398,222.18163965548513,237.66149793351047,286.6750976279596,229.07375275097826
